wavelength,transmission,,,,,,,,,,,,,,,,
370,0.67,,,,,,,,,,,,,,,,
375,0.80,,,,,,,,,,,,,,,,
380,0.86,,,,,,,,,,,,,,,,
385,0.90,,,,,,,,,,,,,,,,
390,0.93,,,,,,,,,,,,,,,,
395,0.95,,,,,,,,,,,,,,,,
400,0.96,,,,,,,,,,,,,,,,
405,0.97,,,,,,,,,,,,,,,,
410,0.97,,,,,,,,,,,,,,,,
416,0.98,,,,,,,,,,,,,,,,
421,0.98,,,,,,,,,,,,,,,,
426,0.98,,,,,,,,,,,,,,,,
431,0.98,,,,,,,,,,,,,,,,
436,0.98,,,,,,,,,,,,,,,,
441,0.98,,,,,,,,,,,,,,,,
446,0.98,,,,,,,,,,,,,,,,
451,0.98,,,,,,,,,,,,,,,,
456,0.98,,,,,,,,,,,,,,,,
461,0.98,,,,,,,,,,,,,,,,
466,0.98,,,,,,,,,,,,,,,,
471,0.98,,,,,,,,,,,,,,,,
476,0.98,,,,,,,,,,,,,,,,
481,0.98,,,,,,,,,,,,,,,,
486,0.98,,,,,,,,,,,,,,,,
491,0.98,,,,,,,,,,,,,,,,
496,0.98,,,,,,,,,,,,,,,,
502,0.98,,,,,,,,,,,,,,,,
507,0.98,,,,,,,,,,,,,,,,
512,0.98,,,,,,,,,,,,,,,,
517,0.98,,,,,,,,,,,,,,,,
522,0.99,,,,,,,,,,,,,,,,
527,0.99,,,,,,,,,,,,,,,,
532,0.99,,,,,,,,,,,,,,,,
537,0.99,,,,,,,,,,,,,,,,
542,0.99,,,,,,,,,,,,,,,,
547,0.99,,,,,,,,,,,,,,,,
552,0.99,,,,,,,,,,,,,,,,
557,0.99,,,,,,,,,,,,,,,,
562,0.99,,,,,,,,,,,,,,,,
567,0.99,,,,,,,,,,,,,,,,
572,0.99,,,,,,,,,,,,,,,,
577,0.99,,,,,,,,,,,,,,,,
582,0.99,,,,,,,,,,,,,,,,
588,0.99,,,,,,,,,,,,,,,,
593,0.99,,,,,,,,,,,,,,,,
598,0.99,,,,,,,,,,,,,,,,
603,0.99,,,,,,,,,,,,,,,,
608,0.99,,,,,,,,,,,,,,,,
613,0.99,,,,,,,,,,,,,,,,
618,0.99,,,,,,,,,,,,,,,,
623,0.99,,,,,,,,,,,,,,,,
628,0.99,,,,,,,,,,,,,,,,
633,0.99,,,,,,,,,,,,,,,,
638,0.99,,,,,,,,,,,,,,,,
643,0.99,,,,,,,,,,,,,,,,
648,0.99,,,,,,,,,,,,,,,,
653,0.99,,,,,,,,,,,,,,,,
658,0.99,,,,,,,,,,,,,,,,
663,0.99,,,,,,,,,,,,,,,,
668,0.99,,,,,,,,,,,,,,,,
674,0.98,,,,,,,,,,,,,,,,
679,0.98,,,,,,,,,,,,,,,,
684,0.98,,,,,,,,,,,,,,,,
689,0.98,,,,,,,,,,,,,,,,
694,0.98,,,,,,,,,,,,,,,,
699,0.97,,,,,,,,,,,,,,,,
704,0.97,,,,,,,,,,,,,,,,
709,0.97,,,,,,,,,,,,,,,,
714,0.96,,,,,,,,,,,,,,,,
719,0.96,,,,,,,,,,,,,,,,
724,0.96,,,,,,,,,,,,,,,,
729,0.95,,,,,,,,,,,,,,,,
734,0.95,,,,,,,,,,,,,,,,
739,0.95,,,,,,,,,,,,,,,,
744,0.94,,,,,,,,,,,,,,,,
749,0.94,,,,,,,,,,,,,,,,
754,0.93,,,,,,,,,,,,,,,,
760,0.93,,,,,,,,,,,,,,,,
765,0.92,,,,,,,,,,,,,,,,
770,0.92,,,,,,,,,,,,,,,,
775,0.91,,,,,,,,,,,,,,,,
780,0.91,,,,,,,,,,,,,,,,
785,0.90,,,,,,,,,,,,,,,,
790,0.90,,,,,,,,,,,,,,,,
795,0.89,,,,,,,,,,,,,,,,
800,0.89,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
