wavelength,transmission
365.00,0.9980348
366.09,0.9980423
367.18,0.9980356
368.26,0.9980179
369.35,0.9979919
370.44,0.99796
371.53,0.9979243
372.61,0.9978868
373.70,0.997849
374.79,0.9978121
375.88,0.9977774
376.96,0.9977457
378.05,0.9977178
379.14,0.9976941
380.23,0.9976752
381.31,0.9976613
382.40,0.9976525
383.49,0.9976489
384.58,0.9976505
385.66,0.9976571
386.75,0.9976685
387.84,0.9976845
388.93,0.9977049
390.01,0.9977292
391.10,0.9977572
392.19,0.9977885
393.28,0.9978226
394.36,0.9978592
395.45,0.9978979
396.54,0.9979383
397.63,0.99798
398.71,0.9980226
399.80,0.9980658
400.89,0.9981127
401.98,0.9981601
403.06,0.998207
404.15,0.9982531
405.24,0.998298
406.33,0.9983414
407.41,0.9983833
408.50,0.9984232
409.59,0.9984612
410.68,0.998497
411.76,0.9985304
412.85,0.9985615
413.94,0.9985901
415.03,0.9986161
416.11,0.9986395
417.20,0.9986603
418.29,0.9986786
419.38,0.9986942
420.46,0.9987073
421.55,0.9987179
422.64,0.9987261
423.73,0.998732
424.81,0.9987356
425.90,0.9987371
426.99,0.9987365
428.08,0.9987339
429.16,0.9987296
430.25,0.9987236
431.34,0.998716
432.43,0.998707
433.51,0.9986967
434.60,0.9986852
435.69,0.9986727
436.78,0.9986593
437.86,0.9986451
438.95,0.9986303
440.04,0.998615
441.13,0.9985992
442.21,0.9985832
443.30,0.9985669
444.39,0.9985506
445.48,0.9985342
446.56,0.998518
447.65,0.998502
448.74,0.9984862
449.83,0.9984707
450.91,0.998458
452.00,0.9984462
453.09,0.9984348
454.18,0.9984238
455.26,0.9984133
456.35,0.9984034
457.44,0.9983939
458.53,0.998385
459.61,0.9983767
460.70,0.9983685
461.79,0.9983606
462.88,0.9983533
463.96,0.9983465
465.05,0.9983401
466.14,0.9983342
467.23,0.9983287
468.31,0.9983236
469.40,0.9983189
470.49,0.9983146
471.58,0.9983105
472.66,0.9983067
473.75,0.9983032
474.84,0.9982998
475.93,0.9982965
477.01,0.9982934
478.10,0.9982903
479.19,0.9982872
480.28,0.9982841
481.36,0.9982809
482.45,0.9982775
483.54,0.998274
484.63,0.9982703
485.71,0.9982664
486.80,0.9982621
487.89,0.9982575
488.98,0.9982526
490.06,0.9982472
491.15,0.9982414
492.24,0.9982351
493.33,0.9982284
494.41,0.9982211
495.50,0.9982133
496.588,0.9982048
497.675,0.9981958
498.762,0.9981862
499.85,0.9981759
500.938,0.9981643
502.025,0.998152
503.113,0.9981389
504.2,0.9981253
505.288,0.9981109
506.375,0.9980959
507.463,0.9980802
508.55,0.9980639
509.637,0.998047
510.725,0.9980294
511.813,0.9980112
512.9,0.9979924
513.988,0.997973
515.075,0.997953
516.163,0.9979325
517.25,0.9979114
518.338,0.9978898
519.425,0.9978678
520.513,0.9978453
521.6,0.9978224
522.687,0.9977991
523.775,0.9977754
524.863,0.9977514
525.95,0.9977271
527.038,0.9977026
528.125,0.9976778
529.212,0.9976529
530.3,0.9976278
531.388,0.9976026
532.475,0.9975773
533.563,0.997552
534.65,0.9975267
535.737,0.9975015
536.825,0.9974763
537.913,0.9974513
539,0.9974264
540.088,0.9974018
541.175,0.9973774
542.262,0.9973532
543.35,0.9973294
544.438,0.997306
545.525,0.9972829
546.612,0.9972603
547.7,0.9972381
548.787,0.9972165
549.875,0.9971954
550.963,0.9971736
552.05,0.9971522
553.138,0.9971315
554.225,0.9971115
555.312,0.9970922
556.4,0.9970736
557.488,0.9970558
558.575,0.9970388
559.662,0.9970226
560.75,0.9970073
561.837,0.9969928
562.925,0.9969791
564.013,0.9969664
565.1,0.9969545
566.188,0.9969436
567.275,0.9969336
568.362,0.9969246
569.45,0.9969164
570.538,0.9969093
571.625,0.996903
572.712,0.9968978
573.8,0.9968935
574.887,0.9968901
575.975,0.9968876
577.063,0.9968862
578.15,0.9968856
579.238,0.9968859
580.325,0.9968872
581.412,0.9968893
582.5,0.9968923
583.588,0.9968962
584.675,0.9969009
585.762,0.9969064
586.85,0.9969127
587.938,0.9969197
589.025,0.9969275
590.113,0.996936
591.2,0.9969452
592.288,0.996955
593.375,0.9969654
594.463,0.9969764
595.55,0.9969879
596.638,0.9969999
597.725,0.9970123
598.812,0.9970252
599.9,0.9970385
600.988,0.997052
602.075,0.9970659
603.163,0.9970799
604.25,0.9970942
605.338,0.9971086
606.425,0.997123
607.513,0.9971375
608.6,0.997152
609.688,0.9971663
610.775,0.9971806
611.862,0.9971946
612.95,0.9972084
614.038,0.9972219
615.125,0.9972351
616.213,0.9972478
617.3,0.99726
618.388,0.9972716
619.475,0.9972827
620.563,0.9972931
621.65,0.9973027
622.737,0.9973116
623.825,0.9973196
624.912,0.9973267
626,0.9973328
627.088,0.9973378
628.175,0.9973417
629.263,0.9973444
630.35,0.9973459
631.438,0.9973461
632.525,0.9973449
633.613,0.9973422
634.7,0.997338
635.787,0.9973323
636.875,0.9973249
637.962,0.9973158
639.05,0.997305
640.138,0.9972923
641.225,0.9972777
642.313,0.9972611
643.4,0.9972425
644.488,0.9972218
645.575,0.997199
646.663,0.997174
647.75,0.9971466
648.837,0.9971169
649.925,0.9970849
651.012,0.9970503
652.1,0.9970133
653.188,0.9969736
654.275,0.9969314
655.363,0.9968864
656.45,0.9968386
657.538,0.9967881
658.625,0.9967347
659.713,0.9966784
660.8,0.996619
661.887,0.9965567
662.975,0.9964913
664.063,0.9964228
665.15,0.996351
666.238,0.9962761
667.325,0.9961978
668.413,0.9961163
669.5,0.9960313
670.588,0.995943
671.675,0.9958511
672.763,0.9957558
673.85,0.9956569
674.937,0.9955545
676.025,0.9954484
677.113,0.9953386
678.2,0.9952252
679.288,0.995108
680.375,0.994987
681.463,0.9948622
682.55,0.9947336
683.638,0.9946011
684.725,0.9944647
685.813,0.9943243
686.9,0.99418
687.987,0.9940317
689.075,0.9938794
690.163,0.993723
691.25,0.9935626
692.338,0.9933981
693.425,0.9932295
694.513,0.9930568
695.6,0.9928799
696.688,0.9926988
697.775,0.9925136
698.863,0.9923242
699.95,0.9921306
701.037,0.9919332
702.125,0.9917316
703.213,0.9915257
704.3,0.9913157
705.388,0.9911014
706.475,0.9908829
707.563,0.9906601
708.65,0.9904332
709.738,0.9902019
710.825,0.9899664
711.913,0.9897267
713,0.9894828
714.087,0.9892346
715.175,0.9889821
716.263,0.9887254
717.35,0.9884645
718.438,0.9881994
719.525,0.9879301
720.613,0.9876566
721.7,0.9873788
722.788,0.9870969
723.875,0.9868109
724.963,0.9865207
726.05,0.9862263
727.137,0.9859278
728.225,0.9856252
729.313,0.9853185
730.4,0.9850078
731.488,0.984693
732.575,0.9843741
733.663,0.9840512
734.75,0.9837244
735.838,0.9833936
736.925,0.9830588
738.012,0.9827201
739.1,0.9823775
740.187,0.9820311
741.275,0.9816808
742.363,0.9813267
743.45,0.9809688
744.538,0.9806071
745.625,0.9802417
746.713,0.9798726
747.8,0.9794999
748.888,0.9791235
749.975,0.9787435
751.062,0.9783599
752.15,0.9779728
753.238,0.9775822
754.325,0.9771881
755.413,0.9767906
756.5,0.9763897
757.588,0.9759854
758.675,0.9755778
759.763,0.9751669
760.85,0.9747528
761.938,0.9743355
763.025,0.973915
764.112,0.9734913
765.2,0.9730646
766.288,0.9726348
767.375,0.972202
768.463,0.9717662
769.55,0.9713275
770.638,0.970886
771.725,0.9704415
772.813,0.9699943
773.9,0.9695443
774.988,0.9690916
776.075,0.9686362
777.162,0.9681781
778.25,0.9677175
779.338,0.9672543
780.425,0.9667886
781.513,0.9663205
782.6,0.96585
783.688,0.965377
784.775,0.9649018
785.863,0.9644243
786.95,0.9639445
788.038,0.9634625
789.125,0.9629784
790.212,0.9624922
791.3,0.9620039
792.388,0.9615136
793.475,0.9610214
794.563,0.9605272
795.65,0.9600312
796.738,0.9595333
797.825,0.9590336
798.913,0.9585322
800,0.958029
