wavelength,transmission
300,0.000891803
301,0.001640328
302,0.002532196
303,0.003288124
304,0.003549695
305,0.003158906
306,0.002339012
307,0.001534045
308,0.000939974
309,0.000563553
310,0.000356247
311,0.000242264
312,0.00015499
313,9.78509E-05
314,6.09821E-05
315,4.4829E-05
316,3.77844E-05
317,2.7477E-05
318,2.66163E-05
319,2.62423E-05
320,2.54234E-05
321,2.75403E-05
322,3.07281E-05
323,3.33617E-05
324,4.17794E-05
325,5.06885E-05
326,7.35026E-05
327,0.000109086
328,0.000172392
329,0.000285487
330,0.000483772
331,0.00083406
332,0.001505786
333,0.002903852
334,0.005903637
335,0.012066158
336,0.022663188
337,0.034919512
338,0.044297824
339,0.049265108
340,0.054232903
341,0.064416485
342,0.08141552
343,0.103694029
344,0.122876158
345,0.127150297
346,0.115901957
347,0.100690994
348,0.093527269
349,0.101622067
350,0.12092968
351,0.118251953
352,0.079480276
353,0.037269697
354,0.014865179
355,0.006984299
356,0.003889953
357,0.002422365
358,0.001643728
359,0.001204308
360,0.000928673
361,0.000769878
362,0.000657631
363,0.00059
364,0.00054461
365,0.000525573
366,0.000520709
367,0.000536054
368,0.0005656
369,0.00061726
370,0.000698653
371,0.000814724
372,0.000975283
373,0.001209606
374,0.001551877
375,0.002074467
376,0.002873644
377,0.004131158
378,0.00623275
379,0.009883689
380,0.016604605
381,0.029888074
382,0.056627779
383,0.113971853
384,0.224903717
385,0.388372917
386,0.543799591
387,0.617739487
388,0.613605843
389,0.586371193
390,0.573627701
391,0.578813248
392,0.59461319
393,0.611829758
394,0.625347977
395,0.633271828
396,0.638591881
397,0.645417099
398,0.656731339
399,0.673715973
400,0.695524063
401,0.719206696
402,0.741317749
403,0.758583908
404,0.770283203
405,0.775686264
406,0.776261978
407,0.773724442
408,0.770072632
409,0.766571808
410,0.764884796
411,0.765985565
412,0.769157639
413,0.774909821
414,0.781707611
415,0.786813126
416,0.788394394
417,0.784733048
418,0.776826477
419,0.765988617
420,0.75443718
421,0.745160294
422,0.740539169
423,0.7424897
424,0.750277939
425,0.763461075
426,0.779697266
427,0.796678391
428,0.8121315
429,0.824557419
430,0.833005066
431,0.837754211
432,0.839766464
433,0.840504074
434,0.840989533
435,0.841132965
436,0.840600052
437,0.839049377
438,0.836535034
439,0.832167664
440,0.825966415
441,0.818204193
442,0.810076141
443,0.802161942
444,0.796003723
445,0.792400971
446,0.791445465
447,0.793727646
448,0.799043808
449,0.806876297
450,0.81640831
451,0.826574326
452,0.83686882
453,0.846241531
454,0.854020386
455,0.859599915
456,0.862285004
457,0.862627716
458,0.861666489
459,0.85999054
460,0.857781601
461,0.856090927
462,0.854801178
463,0.854806595
464,0.855817642
465,0.857691116
466,0.859779739
467,0.86243515
468,0.865172272
469,0.866983719
470,0.868406296
471,0.868324814
472,0.867026672
473,0.865003891
474,0.862589264
475,0.859421692
476,0.856318817
477,0.85416153
478,0.853044586
479,0.85373703
480,0.856172714
481,0.860043564
482,0.865499115
483,0.872399445
484,0.87960846
485,0.886366653
486,0.89186264
487,0.89522377
488,0.896613388
489,0.895439224
490,0.891667938
491,0.885963821
492,0.878919373
493,0.872023697
494,0.865400162
495,0.860147781
496,0.855995026
497,0.853739929
498,0.853603134
499,0.854642334
500,0.856789093
501,0.859332504
502,0.8620681
503,0.864738312
504,0.86729538
505,0.868967743
506,0.869566193
507,0.8689991
508,0.867688141
509,0.865448608
510,0.862500534
511,0.85898819
512,0.855046539
513,0.851659241
514,0.848023987
515,0.843986969
516,0.840054779
517,0.83587265
518,0.831994858
519,0.828203735
520,0.824798813
521,0.82181015
522,0.819938965
523,0.818826981
524,0.818818665
525,0.819286118
526,0.82036377
527,0.821989441
528,0.824098969
529,0.826355057
530,0.828378983
531,0.830263519
532,0.832525787
533,0.835046387
534,0.837631302
535,0.840320664
536,0.843414536
537,0.846856155
538,0.850887375
539,0.855311203
540,0.859985275
541,0.864783325
542,0.869870987
543,0.875017624
544,0.879934158
545,0.88402832
546,0.887203293
547,0.889491959
548,0.890629807
549,0.890960846
550,0.889882278
