wavelength dbkm
400.00 344.97
405.00 320.87
410.00 292.93
415.00 264.89
420.00 237.98
425.00 209.69
430.00 181.63
435.00 154.53
440.00 127.83
445.00 100.77
450.00 73.26
455.00 56.17
460.00 46.70
465.00 42.30
470.00 40.06
475.00 38.09
480.00 36.23
485.00 34.54
490.00 33.91
495.00 33.75
500.00 33.83
505.00 33.80
510.00 33.90
515.00 34.45
520.00 35.41
525.00 36.59
530.00 38.04
535.00 39.57
540.00 41.53
545.00 43.50
550.00 47.09
555.00 49.85
560.00 53.53
565.00 57.56
570.00 62.10
575.00 67.19
580.00 73.46
585.00 80.34
590.00 87.84
595.00 96.31
600.00 104.01
605.00 112.09
610.00 120.12
615.00 127.13
620.00 134.26
625.00 139.96
630.00 142.19
635.00 140.63
640.00 135.24
645.00 126.08
650.00 113.30
655.00 99.60
660.00 85.76
665.00 73.38
670.00 63.28
675.00 55.27
680.00 49.75
685.00 46.75
690.00 43.67
695.00 42.04
700.00 40.42
705.00 38.86
710.00 37.85
715.00 37.21
720.00 36.98
725.00 37.07
730.00 37.43
735.00 37.54
740.00 37.63
745.00 37.63
750.00 37.31
755.00 36.86
760.00 36.50
765.00 36.33
770.00 36.67
775.00 37.30
780.00 38.12
785.00 38.93
790.00 39.65
795.00 40.32
800.00 40.90
805.00 41.39
810.00 42.17
815.00 43.05
820.00 43.90
825.00 44.48
830.00 44.36
835.00 45.74
840.00 46.46
845.00 46.56
850.00 46.86
855.00 47.16
860.00 47.27
865.00 47.28
870.00 47.06
875.00 46.66
880.00 46.35
885.00 46.45
890.00 46.45
895.00 46.38
900.00 45.85
905.00 45.56
910.00 45.75
915.00 46.45
920.00 46.88
925.00 48.08
930.00 49.36
935.00 50.56
940.00 51.51
945.00 52.25
950.00 53.21
955.00 54.46
960.00 56.06
965.00 57.37
970.00 58.23
975.00 58.21
980.00 57.86
985.00 57.60
990.00 57.60
995.00 58.16
1000.00 58.99
1005.00 59.78
1010.00 60.56
1015.00 61.58
1020.00 62.44
1025.00 63.24
1030.00 63.65
1035.00 63.37
1040.00 63.78
1045.00 64.62
1050.00 66.03
1055.00 67.64
1060.00 68.51
1065.00 68.68
1070.00 68.38
1075.00 68.23
1080.00 68.64
1085.00 69.26
1090.00 70.49
1095.00 71.78
1100.00 72.67
1105.00 73.15
1110.00 72.99
1115.00 72.51
1120.00 72.52
1125.00 73.27
1130.00 74.27
1135.00 75.10
1140.00 75.06
1145.00 74.59
1150.00 73.73
1155.00 73.78
1160.00 73.46
1165.00 73.46
1170.00 73.46
1175.00 73.14
1180.00 73.14
1185.00 73.14
1190.00 73.46
1195.00 73.80
1200.00 74.06
1205.00 74.11
1210.00 73.78
1215.00 73.32
1220.00 73.14
1225.00 73.13
1230.00 74.26
1235.00 75.32
1240.00 75.73
1245.00 75.42
1250.00 74.41
1255.00 73.60
1260.00 73.14
1265.00 73.74
1270.00 74.99
1275.00 76.53
1280.00 78.07
1285.00 79.27
1290.00 80.31
1295.00 81.89
1300.00 83.49
1305.00 85.34
1310.00 86.44
1315.00 87.83
1320.00 88.87
1325.00 89.88
1330.00 91.11
1335.00 91.68
1340.00 92.28
1345.00 92.48
1350.00 92.48
1355.00 92.26
1360.00 91.88
1365.00 92.28
1370.00 92.47
1375.00 93.92
1380.00 95.53
1385.00 96.72
1390.00 97.63
1395.00 98.25
