wavelength transmission
400.0000 0.7245
402.0000 0.7313
404.0000 0.7405
406.0000 0.7485
408.0000 0.7570
410.0000 0.7672
412.0000 0.7742
414.0000 0.7801
416.0000 0.7860
418.0000 0.7904
420.0000 0.7966
422.0000 0.8023
424.0000 0.8082
426.0000 0.8144
428.0000 0.8181
430.0000 0.8216
432.0000 0.8264
434.0000 0.8302
436.0000 0.8326
438.0000 0.8353
440.0000 0.8379
442.0000 0.8407
444.0000 0.8446
446.0000 0.8478
448.0000 0.8514
450.0000 0.8529
452.0000 0.8545
454.0000 0.8562
456.0000 0.8583
458.0000 0.8600
460.0000 0.8627
462.0000 0.8650
464.0000 0.8664
466.0000 0.8684
468.0000 0.8702
470.0000 0.8722
472.0000 0.8737
474.0000 0.8752
476.0000 0.8760
478.0000 0.8767
480.0000 0.8790
482.0000 0.8812
484.0000 0.8824
486.0000 0.8842
488.0000 0.8858
490.0000 0.8866
492.0000 0.8871
494.0000 0.8871
496.0000 0.8885
498.0000 0.8888
500.0000 0.8901
502.0000 0.8909
504.0000 0.8908
506.0000 0.8916
508.0000 0.8931
510.0000 0.8940
512.0000 0.8946
514.0000 0.8952
516.0000 0.8960
518.0000 0.8960
520.0000 0.8952
522.0000 0.8947
524.0000 0.8946
526.0000 0.8931
528.0000 0.8924
530.0000 0.8916
532.0000 0.8917
534.0000 0.8901
536.0000 0.8901
538.0000 0.8901
540.0000 0.8901
542.0000 0.8901
544.0000 0.8913
546.0000 0.8925
548.0000 0.8946
550.0000 0.8946
552.0000 0.8946
554.0000 0.8954
556.0000 0.8953
558.0000 0.8953
560.0000 0.8953
562.0000 0.8946
564.0000 0.8945
566.0000 0.8930
568.0000 0.8915
570.0000 0.8916
572.0000 0.8908
574.0000 0.8901
576.0000 0.8890
578.0000 0.8886
580.0000 0.8878
582.0000 0.8879
584.0000 0.8879
586.0000 0.8879
588.0000 0.8879
590.0000 0.8870
592.0000 0.8846
594.0000 0.8817
596.0000 0.8798
598.0000 0.8783
600.0000 0.8775
602.0000 0.8775
604.0000 0.8775
606.0000 0.8768
608.0000 0.8767
610.0000 0.8767
612.0000 0.8767
614.0000 0.8768
616.0000 0.8759
618.0000 0.8753
620.0000 0.8743
622.0000 0.8726
624.0000 0.8719
626.0000 0.8702
628.0000 0.8694
630.0000 0.8679
632.0000 0.8667
634.0000 0.8656
636.0000 0.8650
638.0000 0.8641
640.0000 0.8623
642.0000 0.8604
644.0000 0.8604
646.0000 0.8588
648.0000 0.8577
650.0000 0.8572
652.0000 0.8568
654.0000 0.8557
656.0000 0.8531
658.0000 0.8504
660.0000 0.8500
662.0000 0.8478
664.0000 0.8470
666.0000 0.8457
668.0000 0.8441
670.0000 0.8425
672.0000 0.8409
674.0000 0.8391
676.0000 0.8381
678.0000 0.8381
680.0000 0.8381
682.0000 0.8381
684.0000 0.8369
686.0000 0.8352
688.0000 0.8342
690.0000 0.8299
692.0000 0.8280
694.0000 0.8261
696.0000 0.8243
698.0000 0.8224
700.0000 0.8191
702.0000 0.8165
704.0000 0.8158
706.0000 0.8148
708.0000 0.8137
710.0000 0.8104
712.0000 0.8084
714.0000 0.8067
716.0000 0.8054
718.0000 0.8032
720.0000 0.8009
722.0000 0.7995
724.0000 0.7993
726.0000 0.7967
728.0000 0.7951
730.0000 0.7929
732.0000 0.7903
734.0000 0.7871
736.0000 0.7820
738.0000 0.7780
740.0000 0.7753
742.0000 0.7728
744.0000 0.7707
746.0000 0.7690
748.0000 0.7698
